Note,Name
127,Snare Sidestick
126,Snare Rimshot
125,Snare Center
124,Hi-Hat Open Edge 5
123,Hi-Hat Open Edge 2
122,Hi-Hat Closed Edge
121,Hi-Hat Open Edge 4
120,Hi-Hat Open Edge 0
119,Hi-Hat Closed Tip
118,Ride Muted Hit
117,Ride Bell
116,Ride Bow Tip
115,Ride Edge
114,Ride Bell
113,Ride Bow Tip
112,Ride Bell
111,Ride Bow Tip
110,Ride Edge
109,Ride Bell
108,Ride Bow Tip
107,Crash 3 Muted Hit
106,Crash 3 Muted Hit
105,Ride Bell
104,Ride Bow Tip
103,Crash 3 Crash
102,Ride Bell
101,Crash 3 Bow Tip
100,Ride Bell
99,Crash 4 Muted Hit
98,Crsah 4 Crash
97,Ride Bell
96,Crash 4 Bow Tip
95,Crash 4 Muted Hit
94,Crash 2 Muted Hit
93,Ride Bell
92,Ride Bell
91,Crash 2 Crash
90,Ride Bell
89,Crash 2 Bow Tip
88,Ride Bell
87,Crash 1 Bow Tip
86,Crash 1 Crash
85,Ride Bell
84,Crash 1 Bow Tip
83,Crash 1 Muted Hit
82,Racktom 1 Rimshot
81,Racktom 1 Rim Only
80,Racktom 2 Rimshot
79,Racktom 1 Rim Only
78,Racktom 3 Rimshot
77,Racktom 1 Rim Only
76,Snare Rim Only
75,Floortom 1 Rimshot
74,Floortom 1 Rim Only
73,Floortom 2 Rimshot
72,Floortom 2 Rim Only
71,Snare Rim Only
70,Snare Center
69,Snare Center
68,Snare Center
67,Snare Sidestick
66,Snare Center
65,Hi-Hat Closed Edge
64,Hi-Hat Open Edge 0
63,Hi-Hat Tight Tip
62,Hi-Hat Tight Edge
61,Hi-Hat Closed Tip
60,Hi-Hat Open Edge 4
59,Ride Edge
58,Crash 3 Muted Hit
57,Crash 3 Crash
56,Crash 1 Muted Hit
55,Crash 1 Crash
54,Ride Muted Hit
53,Ride Bell
52,Ride Edge
51,Ride Bow Tip
50,Crash 2 Muted Hit
49,Crash 2 Crash
48,Racktom 1 Center
47,Racktom 2 Center
46,Hi-Hat Open Edge 2
45,Racktom 3 Center
44,Hi-Hat Pedal Closed
43,Floortom 1 Center
42,Hi-Hat Closed Tip
41,Floortom 2 Center
40,Snare Rimshot
39,Snare Center
38,Snare Center
37,Snare Sidestick
36,Kick Hit
35,Kick Hit
34,Kick Hit
33,Snare Edge
32,Crash 3 Crash
31,Crsah 3 Bow Tip
30,Ride Bell
29,Ride Bow Tip
28,Crash 2 Crash
27,Crash 2 Bow Tip
26,Hi-Hat Open Edge 3
25,Hi-Hat Open Edge 2
24,Hi-Hat Open Edge 1
23,Hi-Hat Pedal Open
22,Hi-Hat Closed Edge
21,Hi-Hat Pedal Closed
20,Hi-Hat Edge Trigger
19,Hi-Hat Tip Trigger
18,Hi-Hat Edge Trigger
17,Hi-Hat Open Tip 5
16,Hi-Hat Open Tip 4
15,Hi-Hat Open Tip 3
14,Hi-Hat Open Tip 2
13,Hi-Hat Open Tip 1
12,Hi-Hat Open Tip 0
11,Hi-Hat Closed Tip
10,Hi-Hat Pedal Closed
9,Hi-Hat Tip Trigger
8,Hi-Hat Tip Trigger
7,Hi-Hat Edge Trigger
6,Hi-Hat Zone Trigger
5,
4,
3,Tambourine Hit
2,Shaker Hit
1,One Shot Hit
0,
